JobName;SubmitTime;StartTime;FinishTime;SLR;CriticalPathTime;TotalCPUTicks;Stretch;Speedup
j1;0;0;45;1;45;180;0.25;4
j2;0;0;47;1.2368421053;38;100;0.47;2.1276595745
j3;0;0;67;1.34;50;440;0.1522727273;6.5671641791
